# bench/cells.tsv — ablation 측정 셀 정의 SSOT (single source of truth).
#
# docs/measurement-methodology.md 의 측정 설계를 셀 단위로 구현한 표입니다.
# bench/ 측정 스크립트와 .github/workflows/build-benchmark.yml 매트릭스가
# 이 파일을 셀 ID로 참조하므로, 셀 정의와 ablation 표가 자동 일치합니다.
#
# 형식: 탭 구분(TSV). 데이터 행은 cell 컬럼이 [ABMC] + 숫자로 시작합니다.
#       '#' 로 시작하는 행은 주석 — 측정 스크립트가 건너뜁니다.
#
# 컬럼 (탭 구분, 순서 고정):
#   cell         셀 ID. A0~A6=프로토콜 A(누적 add), B1~B6=프로토콜 B(leave-one-out),
#                M1~M6=다중타깃 변형, C1~C3=캐시 백엔드 변형.
#   protocol     A | B | M | C  (측정 매트릭스 — 곱집합 아닌 합집합)
#   ninja        on=-G Ninja                          off=-G "Unix Makefiles"
#   ccache       on=컴파일 캐시 launcher 사용          off=launcher 미설정
#   pch          on=PCH 사용                           off=PCH 미사용
#                ※ CMake 키 반전: pch=on -> CMAKE_DISABLE_PRECOMPILE_HEADERS=OFF
#   unity        on=CMAKE_UNITY_BUILD=ON               off=OFF
#   split_dwarf  on=CMAKE_CXX_FLAGS=-gsplit-dwarf      off=플래그 없음
#   mold         on=빌드 명령을 `mold -run` 으로 래핑  off=기본 GNU ld
#   split_libs   none=단일 add_executable  static=N STATIC lib  shared=N SHARED lib
#                ※ mold(ld 가속기)는 ar 미작용 — shared 만 mold 작업량을 곱한다
#   backend      local=ccache(로컬 디스크)             gha=sccache + GitHub Actions 캐시
#                ※ backend=gha 이면 launcher=sccache, local 이면 launcher=ccache
#   warm_mode    same-job=cold 직후 같은 잡에서 warm   new-job=별도 잡에서 warm(ephemeral)
#   note         사람용 설명
#
# 통제변수 (전 셀 고정, 컬럼 아님):
#   - CMAKE_BUILD_TYPE=Debug
#   - CMAKE_JOB_POOLS=link_pool=2 (링크 동시성 제한 - OOM/노이즈 통제)
#   - nvidia/cuda:12.2.2 베이스 이미지, GCC 11, ubuntu-latest 러너
#
# 코어 ablation(A/B)은 단일타깃·ccache 로컬 캐시 고정. M/C 변형은 optimized 설정 기준.
#
#cell	protocol	ninja	ccache	pch	unity	split_dwarf	mold	split_libs	backend	warm_mode	note
A0	A	off	off	off	off	off	off	none	local	same-job	baseline - 모든 기법 off
A1	A	on	off	off	off	off	off	none	local	same-job	A0 + Ninja
A2	A	on	on	off	off	off	off	none	local	same-job	A1 + ccache
A3	A	on	on	on	off	off	off	none	local	same-job	A2 + PCH (unity보다 먼저 - 교란 처리)
A4	A	on	on	on	on	off	off	none	local	same-job	A3 + unity
A5	A	on	on	on	on	on	off	none	local	same-job	A4 + split-dwarf
A6	A	on	on	on	on	on	on	none	local	same-job	A5 + mold = optimized (B0와 동일 셀)
B1	B	on	off	on	on	on	on	none	local	same-job	optimized - ccache
B2	B	on	on	on	off	on	on	none	local	same-job	optimized - unity
B3	B	on	on	off	on	on	on	none	local	same-job	optimized - PCH
B4	B	on	on	on	on	on	off	none	local	same-job	optimized - mold
B5	B	on	on	on	on	off	on	none	local	same-job	optimized - split-dwarf
B6	B	off	on	on	on	on	on	none	local	same-job	optimized - Ninja
M1	M	on	on	on	on	on	off	none	local	same-job	단일타깃, mold off
M2	M	on	on	on	on	on	on	none	local	same-job	단일타깃, mold on
M3	M	on	on	on	on	on	off	static	local	same-job	16 STATIC lib, mold off
M4	M	on	on	on	on	on	on	static	local	same-job	16 STATIC lib, mold on
M5	M	on	on	on	on	on	off	shared	local	same-job	16 SHARED lib, mold off
M6	M	on	on	on	on	on	on	shared	local	same-job	16 SHARED lib, mold on
C1	C	on	on	on	on	on	on	none	local	same-job	ccache 로컬, 같은 잡 warm
C2	C	on	on	on	on	on	on	none	local	new-job	ccache 로컬, 새 잡 warm (ephemeral)
C3	C	on	on	on	on	on	on	none	gha	new-job	sccache + gha 캐시, 새 잡 warm (ephemeral)
